term,even_xgf,playerId,name,position,teamId,even_xga,pp_xgf,pk_xga
8478859,0.01791554545607658,8478859.0,Niko Mikkola,D,13,-0.08759753171359703,-0.08112286448160096,0.014355729583889603
8479314,0.16456434780423104,8479314.0,Matthew Tkachuk,L,13,-0.0030478895383543652,0.18967408995049143,-0.08561880662618286
8479325,0.06502222714442067,8479325.0,Charlie McAvoy,D,6,-0.01798422142174486,0.07101213093720345,-0.062418754203436656
8479365,0.0010343803240391684,8479365.0,Trent Frederic,C,6,0.0009216153679654009,-0.05737896489015713,0.000302240239927171
8479368,-0.12104081330247358,8479368.0,Max Jones,L,6,0.01886367862898204,-0.001139053055140621,-0.005823019133921164
8479369,-0.12329090322099635,8479369.0,Andrew Peeke,D,6,-0.0696550751482412,-0.08639538697649775,0.027443555712184736
8479638,-0.018950849993735242,8479638.0,Justin Brazeau,R,6,-0.014852345357553646,0.05098295057461083,0.01773473886190082
8479981,0.014167093909915456,8479981.0,Jonah Gadjovich,L,13,0.0015847089516094364,-0.008573116258405202,0.0024483299574735713
8479987,0.09051708878040125,8479987.0,Morgan Geekie,C,6,-0.050660358931718455,0.07227769541988328,0.001447168809427804
8480003,-0.09946217591669596,8480003.0,Jesper Boqvist,C,13,0.0015453741893032323,-0.06856866497272576,-0.03861005377856092
8480185,-0.10932035815015677,8480185.0,Eetu Luostarinen,C,13,-0.06343047881842119,-0.054856059915362056,0.002718257342294087
8480355,-0.13736772460548244,8480355.0,Mark Kastelic,C,6,-0.03671414265604588,-0.01846013509461262,0.008082695091514271
8480871,0.014552692589805913,8480871.0,Adam Boqvist,D,13,0.028925226411469284,-0.01924918632408676,-0.07048861537952514
8481043,-0.1117344074724979,8481043.0,Cole Koepke,L,6,-0.10876578074959338,-0.007951556850231998,0.0504756499839347
8481556,-0.15157903889670993,8481556.0,John Beecher,C,6,-0.061659293607006845,-0.06372637147737122,0.0526122587140502
8482113,0.003286497628057298,8482113.0,Anton Lundell,C,13,-0.10006742074633782,0.031681866253111715,-0.06465997699546135
8482511,0.010746609762765211,8482511.0,Mason Lohrei,D,6,0.12005225000820276,0.08468906395115575,-0.06956465171602304
